ÁöÁ¡¸í,ÀÏ½Ã,¼ö¿Â(¡É),pH,DO(§·/L)_x,Chl-a (§·/§©),À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ ÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ Áõ±â¾Ð(hPa),Æò±Õ ÇöÁö±â¾Ð(hPa),Æò±Õ ÇØ¸é±â¾Ð(hPa),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),¼öÀ§(EL.m),DO(§·/L)_y,BOD(§·/L),COD(§·/L),Å¬·Î·ÎÇÊ a(§·/§©),TN(§·/L),TP(§·/L),TOC(§·/L),¼ö¼ÒÀÌ¿Â³óµµ,Àü±âÀüµµµµ(¥ìS/§¯),¿ëÁ¸ÃÑÁú¼Ò(§·/L),¾Ï¸ð´Ï¾Æ¼º Áú¼Ò(§·/L),Áú»ê¼º Áú¼Ò(§·/L),¿ëÁ¸ÃÑÀÎ(§·/L),ÀÎ»ê¿°ÀÎ(§·/L),SS(§·/L),À¯·®(§©/s)
½ÂÃÌº¸,2017-01-02,6.2,7.4,11.1,26.4,0.0,7.2,2.7,13.3,0.0,1.0,4.0,81.6,8.2,1014.7,1023.6,4.8,7.89,7.49,11.1,3.3,6.5,26.4,5.9,0.142,5.8,7.4,420.0,5.647,1.744,2.76,0.081,0.057,5.0,15.287
½ÂÃÌº¸,2017-01-09,8.3,6.6,12.7,43.8,0.0,5.1,1.6,8.7,0.0,1.9,-1.2,65.6,5.7,1009.6,1018.6,5.6,8.29,7.52,12.7,3.1,6.7,43.8,6.049,0.096,5.1,6.6,417.0,6.013,1.669,3.4610000000000003,0.033,0.012,6.9,10.394
½ÂÃÌº¸,2017-01-16,5.3,6.8,14.6,45.9,0.0,-0.6,-4.9,5.3,0.0,1.4,-12.0,48.5,2.6,1020.0,1029.3,9.1,12.41,7.5,14.6,4.3,7.9,45.9,5.962999999999999,0.106,5.6,6.8,404.0,5.598,1.416,3.415,0.022,0.0,14.4,12.311
½ÂÃÌº¸,2017-01-24,5.1,7.7,14.7,56.5,0.0,-2.0,-5.9,2.7,0.0,1.5,-7.7,65.8,3.4,1025.4,1034.8,8.4,12.77,7.5,14.7,4.8,7.7,56.5,6.268,0.115,6.1,7.7,426.0,6.051,1.693,3.5460000000000003,0.025,0.005,9.6,11.58
½ÂÃÌº¸,2017-01-31,5.7,6.5,12.4,41.8,0.0,-1.4,-6.1,5.5,0.0,1.6,-10.7,51.9,2.7,1019.1,1028.4,9.0,14.23,7.5,12.4,4.3,7.0,41.8,8.056000000000001,0.109,5.9,6.5,495.0,7.71,2.937,4.099,0.04,0.019,8.9,11.85
½ÂÃÌº¸,2017-02-06,6.3,7.7,11.5,31.4,0.0,1.7,-0.9,4.8,0.0,1.9,-6.5,55.0,3.8,1013.9,1023.0,9.2,14.84,7.51,11.5,4.9,8.8,31.4,9.113,0.217,7.2,7.7,464.0,8.543,4.349,3.469,0.073,0.043,9.8,12.698
½ÂÃÌº¸,2017-02-13,6.1,7.6,14.6,99.0,0.0,2.7,-3.7,8.6,0.0,1.3,-2.2,72.5,5.3,1022.2,1031.3,9.0,14.58,7.45,14.6,5.9,9.2,99.0,8.256,0.113,8.4,7.6,485.0,8.079,3.867,3.088,0.024,0.024,14.2,13.329
½ÂÃÌº¸,2017-02-20,8.3,6.3,15.3,73.1,0.0,3.4,-2.4,12.8,8.5,2.8,-2.2,68.6,5.9,1008.9,1017.9,6.3,13.66,7.24,15.3,6.3,9.8,73.1,8.713,0.162,8.7,6.3,538.0,7.7120000000000015,4.496,2.9760000000000004,0.029,0.006999999999999999,18.8,25.102
½ÂÃÌº¸,2017-02-27,7.4,7.1,13.7,73.7,0.0,5.1,-0.7,12.8,0.0,1.0,-4.9,51.8,4.3,1017.9,1026.9,10.5,17.95,6.57,13.7,5.0,8.5,73.7,4.6080000000000005,0.122,6.7,7.1,404.0,4.256,1.336,2.332,0.046,0.004,16.0,16.855
½ÂÃÌº¸,2017-03-06,9.9,7.7,13.6,77.6,0.0,3.3,0.0,6.6,0.0,2.6,-9.6,41.6,3.2,1008.5,1017.5,10.8,20.95,7.29,13.6,6.4,11.9,77.6,7.454,0.146,8.1,7.7,374.0,6.678,3.404,2.617,0.029,0.023,15.8,0.631
