측정소명,년/월/일,회차,수심(m),수온(℃),DO(㎎/L),BOD(㎎/L),COD(㎎/L),클로로필 a(㎎/㎥),TN(㎎/L),TP(㎎/L),TOC(㎎/L),수소이온농도,페놀류(㎎/L),전기전도도(μS/㎝),총대장균군수(총대장균군수/100ml),카드뮴(㎎/L),시안(㎎/L),납(㎎/L),6가크롬(㎎/L),비소(㎎/L),수은(㎎/L),구리(㎎/L),아연(㎎/L),크롬(㎎/L),니켈(㎎/L),바륨(㎎/L),셀레늄(㎎/L),용존총질소(㎎/L),암모니아성 질소(㎎/L),질산성 질소(㎎/L),용존총인(㎎/L),인산염인(㎎/L),SS(㎎/L),헥사클로로벤젠 (㎍/L),분원성대장균군수,불소(㎎/L),색도(㎎/L),노말헥산추출물질(㎎/L),용해성망간(㎎/L),용해성철(㎎/L),음이온계면활성제(㎎/L),테트라클로로에틸렌(㎎/L),테트라클로로에틸렌(㎎/L).1,사염화탄소,1.2-디클로로에탄(㎎/L),디클로로메탄(㎎/L),벤젠(㎎/L),폴리크로리네이티트비페닐(㎎/L),유기인(㎎/L),안티몬 (㎎/L),클로로포름 (㎎/L),디에틸헥실프탈레이트 (㎎/L),1.4-다이옥세인 (㎎/L),투명도(m),유량(㎥/s),포름알데히드(㎎/L)
죽산보,2012-01-03,1회차,,3.9,16.9,3.2,7.3,45.5,7.385,0.46299999999999997,4.7,7.9,0.0,462,380,,,,,,,,,,,,,7.181,2.178,4.473,0.406,0.359,10.4,,230,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-01-04,1회차,,4.1,15.0,4.8,8.0,25.4,7.792000000000001,0.6,6.6,7.2,0.0,480,3950,,,,,,,,,,,,,7.532,4.442,3.0039999999999996,0.575,0.5379999999999999,7.9,,948,,,,,,,,,,,,,,,,,,,,10.402999999999999,
승촌보,2012-01-09,2회차,,5.9,14.3,4.7,8.4,25.4,10.901,0.888,6.6,7.9,0.0,513,11800,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,9.924,5.013999999999999,3.432,0.826,0.797,7.1,,1100,,,,,,0.0,,,,,,,,,,,,,,12.312999999999999,
승촌보,2012-01-18,3회차,,6.1,12.8,6.7,10.3,66.6,12.401,0.8440000000000001,7.3,7.2,0.0,508,21100,,,,,,,,,,,,,11.790999999999999,6.125,3.283,0.6970000000000001,0.493,15.3,,6400,,,,,,,,,,,,,,,,,,,,10.369000000000002,
승촌보,2012-01-27,4회차,,4.3,15.6,5.6,11.3,75.5,10.238999999999999,0.23600000000000002,7.2,7.9,0.0,461,400,,,,,,,,,,,,,9.43,3.6839999999999997,4.338,0.115,0.057,14.1,,10,,,,,,,,,,,,,,,,,,,,13.402000000000001,
승촌보,2012-01-30,5회차,,5.9,16.3,6.4,10.3,54.4,8.902999999999999,0.611,7.7,8.5,0.0,485,6800,,,,,,,,,,,,,8.443999999999999,4.205,2.59,0.45,0.402,39.9,,1515,,,,,,,,,,,,,,,,,,,,11.425,
승촌보,2012-02-06,1회차,,4.7,12.8,6.3,10.0,40.4,8.084,0.462,6.9,8.3,0.0,478,39500,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7.9910000000000005,4.362,3.057,0.39899999999999997,0.389,12.5,,9300,,,,,,0.0,,,,,,,,,,,,,,13.780999999999999,
승촌보,2012-02-15,2회차,,6.6,13.5,6.7,12.0,83.7,10.925,0.639,8.4,7.3,0.0,554,7200,,,,,,,,,,,,,10.093,6.526,2.4530000000000003,0.535,0.491,18.2,,295,,,,,,,,,,,,,,,,,,,,14.019,
승촌보,2012-02-22,3회차,,5.5,12.5,6.1,12.3,64.4,11.579,0.593,9.0,7.1,0.0,517,9600,,,,,,,,,,,,,11.526,7.625,2.531,0.531,0.363,15.1,,1200,,,,,,,,,,,,,,,,,,,,12.187999999999999,
죽산보,2012-02-27,1회차,,6.7,16.7,4.3,9.3,92.8,9.258,0.428,7.6,8.5,0.0,544,10,,,,,,,,,,,,,8.716000000000001,4.532,2.637,0.406,0.33,14.8,,4,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-02-29,4회차,,6.6,10.1,6.1,10.1,34.2,12.827,0.601,8.0,7.2,0.0,518,23200,,,,,,,,,,,,,12.73,7.382000000000001,3.463,0.5589999999999999,0.38299999999999995,9.4,,3930,,,,,,,,,,,,,,,,,,,,10.597000000000001,
승촌보,2012-03-05,1회차,,10.5,10.6,6.7,12.7,63.1,13.562999999999999,0.5710000000000001,9.7,7.4,0.0,452,66000,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12.187000000000001,10.295,1.5619999999999998,0.5,0.41700000000000004,13.2,,13000,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,17.503,
죽산보,2012-03-13,1회차,,9.4,16.1,5.4,10.1,108.2,2.189,0.052000000000000005,6.3,6.6,0.0,749,110,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,2.138,0.099,1.581,0.025,0.004,19.2,,0,,,,,,0.0,,,,,,,,,,,,,,,
승촌보,2012-03-15,2회차,,9.6,12.7,6.5,11.7,43.6,12.106,0.387,10.4,7.6,0.0,461,5000,,,,,,,,,,,,,10.527999999999999,6.51,1.7169999999999999,0.29,0.24,16.6,,725,,,,,,,,,,,,,,,,,,,,14.280999999999999,
승촌보,2012-03-19,3회차,,10.3,12.4,7.0,12.2,67.4,11.305,0.8740000000000001,9.4,7.8,0.0,534,12500,,,,,,,,,,,,,11.030999999999999,8.068999999999999,1.7819999999999998,0.768,0.737,12.6,,3160,,,,,,,,,,,,,,,,,,,,11.992,
승촌보,2012-03-30,4회차,,14.8,7.9,8.2,12.0,104.0,10.545,0.609,9.3,7.6,0.0,458,17100,,,,,,,,,,,,,9.118,5.972,1.7530000000000001,0.452,0.42,21.5,,750,,,,,,,,,,,,,,,,,,,,23.073,
승촌보,2012-04-02,1회차,,12.8,11.1,7.3,12.9,90.3,6.937,0.501,7.5,7.3,0.0,332,76500,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,5.687,2.682,2.371,0.423,0.157,29.9,,26000,,,,,,0.0,,,,,,,,,,,,,,22.250999999999998,
죽산보,2012-04-09,1회차,,14.2,16.3,4.7,9.3,129.8,4.4719999999999995,0.10800000000000001,4.5,8.7,0.0,298,700,,,,,,,,,,,,,4.419,1.248,3.089,0.043,0.037000000000000005,22.4,,20,,,,,,,,,,,,,,,,,,,,,
승촌보,2012-04-10,2회차,,15.1,13.4,6.2,11.8,151.1,6.007000000000001,0.314,7.0,7.8,0.0,344,12000,,,,,,,,,,,,,5.99,2.033,2.449,0.24600000000000002,0.16,13.8,,250,,,,,,,,,,,,,,,,,,,,18.901,
승촌보,2012-04-18,3회차,,19.2,10.9,6.6,11.5,74.1,7.079,0.48100000000000004,8.4,8.7,0.0,393,950,,,,,,,,,,,,,7.042000000000001,3.855,1.902,0.401,0.396,8.1,,40,,,,,,,,,,,,,,,,,,,,12.567,
승촌보,2012-04-26,4회차,,17.2,8.1,6.0,10.4,61.3,4.901,0.4,7.5,7.2,0.0,307,13955,,,,,,,,,,,,,4.878,2.3569999999999998,1.493,0.28800000000000003,0.26899999999999996,13.8,,2400,,,,,,,,,,,,,,,,,,,,20.278,
