수온(℃),pH,DO(㎎/L),Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2)
5.9,8.4,12.9,96.9,0.0,-5.0,-7.5,-1.6,0.0,3.8,-12.5,56.5,2.4,1017.5,1026.9,9.2,9.35
4.6,7.7,14.4,56.9,0.0,-4.3,-7.8,-0.2,0.0,1.9,-9.5,67.0,3.0,1015.9,1025.2,7.0,7.83
4.2,8.4,15.4,70.4,0.0,-2.5,-9.7,3.6,0.0,1.1,-6.8,73.3,3.8,1017.6,1026.9,6.9,9.77
4.3,7.9,15.6,75.5,0.0,2.5,-1.6,8.7,0.0,0.8,-2.1,73.1,5.2,1016.0,1025.1,6.1,9.51
5.9,8.5,16.3,54.4,0.0,-0.8,-3.4,4.0,0.0,3.2,-15.7,33.5,1.9,1020.4,1029.6,9.5,11.81
6.3,8.0,14.2,23.6,0.0,-2.4,-5.6,3.1,0.0,2.0,-6.6,73.1,3.7,1020.5,1029.8,7.6,8.64
5.9,7.9,14.3,25.4,0.0,2.2,-1.6,7.2,0.0,2.5,-3.9,64.5,4.6,1021.1,1030.2,7.3,7.91
5.1,7.6,13.5,33.4,0.0,-1.4,-6.4,2.2,0.0,1.6,-7.2,65.3,3.6,1020.6,1029.9,4.5,6.57
8.2,8.3,14.3,73.4,0.0,4.3,0.6,10.0,0.0,0.8,-0.8,69.9,5.8,1011.7,1020.7,3.5,5.69
6.1,7.2,12.8,66.6,0.0,4.1,-0.2,8.7,0.0,2.1,-1.6,67.9,5.5,1012.3,1021.3,0.9,4.32
7.8,8.4,15.1,84.8,0.0,6.1,3.7,8.2,0.0,2.3,3.1,81.9,7.6,1010.8,1019.7,0.0,2.02
9.4,8.2,14.1,83.0,0.0,8.0,6.6,9.9,0.2,2.9,2.9,70.5,7.5,1011.3,1020.2,0.4,3.3
8.7,8.1,13.0,86.7,0.0,4.5,2.4,7.0,5.0,1.7,2.5,87.8,7.4,1011.8,1020.8,0.0,2.07
6.4,8.0,11.8,64.3,0.0,-1.7,-4.5,2.4,0.0,3.1,-8.5,60.5,3.3,1015.3,1024.6,8.1,10.06
4.8,7.6,14.1,51.4,0.0,-7.9,-9.7,-5.2,0.3,3.4,-13.0,67.0,2.3,1021.3,1030.9,9.1,10.98
4.7,8.3,12.8,40.4,0.0,2.2,-1.4,4.3,4.0,1.4,-0.1,85.5,6.2,1007.6,1016.6,0.0,2.08
6.1,7.3,13.6,30.2,0.0,-1.8,-5.4,1.7,0.8,1.3,-7.1,69.5,3.6,1018.0,1027.3,7.8,6.07
6.7,7.6,13.1,70.1,0.0,3.7,2.6,4.7,0.0,1.5,-3.4,61.5,4.9,1014.4,1023.4,0.0,1.75
6.9,8.0,13.2,103.7,0.0,1.2,-2.4,5.7,0.0,3.0,-11.9,40.0,2.6,1014.9,1024.1,9.8,13.68
7.1,8.0,13.9,49.6,0.0,0.1,-7.4,7.7,0.0,1.0,-10.3,50.4,2.8,1018.6,1027.8,9.6,13.73
8.3,7.8,13.9,80.2,0.0,6.2,2.6,9.5,0.0,1.8,1.1,70.6,6.6,1005.8,1014.6,7.4,11.56
8.1,7.9,13.6,43.6,0.0,1.4,-5.0,9.3,0.0,2.4,-11.4,41.6,2.6,1016.4,1025.6,10.6,15.67
10.5,7.4,10.6,63.1,0.0,6.7,5.0,8.2,19.5,2.9,6.1,96.0,9.4,1001.8,1010.6,0.0,1.94
