瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 捞浇痢柯档(∑C),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),乞闭 秦搁扁拘(hPa),钦拌 老炼矫埃(hr),钦拌 老荤樊(MJ/m2)
156,堡林,2012-01-01,1,-2.3,4,1.1,1.8,-2.5,77.1,5.2,1016,1025.2,0.1,2.33
156,堡林,2012-01-02,-1,-4.9,3.3,,2.2,-6.1,68.3,3.9,1017.5,1026.7,6.2,7.29
156,堡林,2012-01-03,-0.4,-2.9,3.1,2,1.7,-3.2,82.1,4.9,1013.8,1022.9,2.1,4.23
156,堡林,2012-01-04,-2.2,-3.9,-0.4,2.7,1.7,-5.3,79.5,4.1,1017.2,1026.5,5.5,5.86
156,堡林,2012-01-05,-2.4,-5.6,3.1,0,2,-6.6,73.1,3.7,1020.5,1029.8,7.6,8.64
156,堡林,2012-01-06,-1.7,-6.6,4,,1.5,-6.7,69.4,3.7,1022.4,1031.7,6.1,7.17
156,堡林,2012-01-07,-2,-6,3.8,,1.5,-9.4,58.8,3,1025.8,1035.2,9.3,9.82
156,堡林,2012-01-08,-1.4,-6.9,5.3,,1.4,-7.4,65.8,3.6,1023,1032.3,6.8,8.03
156,堡林,2012-01-09,2.2,-1.6,7.2,,2.5,-3.9,64.5,4.6,1021.1,1030.2,7.3,7.91
156,堡林,2012-01-10,2,-0.9,5.3,,2.1,-4.7,62.1,4.3,1019.2,1028.4,7.4,8.28
156,堡林,2012-01-11,-1.4,-5.7,1.5,0,2.6,-8.5,59.1,3.3,1022.1,1031.4,7.3,7.27
156,堡林,2012-01-12,-1.4,-6.4,2.2,,1.6,-7.2,65.3,3.6,1020.6,1029.9,4.5,6.57
156,堡林,2012-01-13,1.2,-2.5,6.5,0,1.2,-4,69.5,4.5,1016.6,1025.8,5.9,6.16
156,堡林,2012-01-14,0.5,-3.2,5.3,,2.7,-10.9,45.5,2.7,1015.7,1024.9,8.7,10.08
156,堡林,2012-01-15,1,-1.4,4.3,,1.6,-8.7,49.6,3.2,1012.4,1021.5,0.4,4.83
156,堡林,2012-01-16,3.7,-0.9,11.1,,1.2,-7.1,46.6,3.6,1008.9,1017.9,7.9,9
156,堡林,2012-01-17,4.3,0.6,10,0,0.8,-0.8,69.9,5.8,1011.7,1020.7,3.5,5.69
156,堡林,2012-01-18,4.1,-0.2,8.7,,2.1,-1.6,67.9,5.5,1012.3,1021.3,0.9,4.32
156,堡林,2012-01-19,6.1,3.7,8.2,0,2.3,3.1,81.9,7.6,1010.8,1019.7,0,2.02
156,堡林,2012-01-20,8,6.6,9.9,0.2,2.9,2.9,70.5,7.5,1011.3,1020.2,0.4,3.3
156,堡林,2012-01-21,4.5,2.4,7,5,1.7,2.5,87.8,7.4,1011.8,1020.8,0,2.07
156,堡林,2012-01-22,-1.7,-4.5,2.4,0,3.1,-8.5,60.5,3.3,1015.3,1024.6,8.1,10.06
156,堡林,2012-01-23,-5,-7.5,-1.6,0,3.8,-12.5,56.5,2.4,1017.5,1026.9,9.2,9.35
156,堡林,2012-01-24,-4.3,-7.8,-0.2,0,1.9,-9.5,67,3,1015.9,1025.2,7,7.83
156,堡林,2012-01-25,-4.6,-6.9,-1.4,2.7,1.9,-8.6,74.8,3.2,1015.7,1025.1,8.5,10.32
156,堡林,2012-01-26,-2.5,-9.7,3.6,0,1.1,-6.8,73.3,3.8,1017.6,1026.9,6.9,9.77
156,堡林,2012-01-27,2.5,-1.6,8.7,,0.8,-2.1,73.1,5.2,1016,1025.1,6.1,9.51
156,堡林,2012-01-28,2.4,-1,9,,3.2,-10.5,43.6,2.9,1017.2,1026.3,8,10.75
156,堡林,2012-01-29,1.3,-2.6,6.3,,3.5,-15.1,29,1.9,1019.2,1028.4,7.6,9
156,堡林,2012-01-30,-0.8,-3.4,4,,3.2,-15.7,33.5,1.9,1020.4,1029.6,9.5,11.81
156,堡林,2012-01-31,0.4,-6.1,6.6,1.5,2.8,-5.4,67.1,4.5,1014.4,1023.6,3.2,6.69
156,堡林,2012-02-01,-4,-6.3,1.8,0,3.4,-8.9,68.5,3.2,1016.8,1026.1,8.2,9.1
156,堡林,2012-02-02,-7.9,-9.7,-5.2,0.3,3.4,-13,67,2.3,1021.3,1030.9,9.1,10.98
156,堡林,2012-02-03,-4.6,-9.3,0.3,0,1.9,-9,71.3,3.2,1018.4,1027.8,8.2,9.77
156,堡林,2012-02-04,-0.5,-4.7,5.1,0,1.1,-5.8,68.8,4,1017.8,1027.1,6.4,7.68
156,堡林,2012-02-05,1.3,-2.8,6.3,,0.9,-5.2,63,4.2,1015,1024.1,3.4,5.9
156,堡林,2012-02-06,2.2,-1.4,4.3,4,1.4,-0.1,85.5,6.2,1007.6,1016.6,0,2.08
156,堡林,2012-02-07,-3.4,-6.6,3.1,0,3.6,-8.7,67,3.3,1010.9,1020.2,5.9,8.07
156,堡林,2012-02-08,-5.7,-9.3,-2,3.5,2.4,-8.8,79.3,3.2,1014.9,1024.3,4.9,7.39
156,堡林,2012-02-09,-1.8,-5.4,1.7,0.8,1.3,-7.1,69.5,3.6,1018,1027.3,7.8,6.07
156,堡林,2012-02-10,-0.3,-4.4,4.5,,1,-6,67,3.9,1018.3,1027.5,3.9,8.12
156,堡林,2012-02-11,-1.7,-5.9,4.4,,2.2,-12.4,47.4,2.4,1020.9,1030.2,10.2,13.74
156,堡林,2012-02-12,1.6,-6,8.6,,1.5,-9.3,47.1,3.1,1020.9,1030.1,8.3,11.99
156,堡林,2012-02-13,3.7,2.6,4.7,0,1.5,-3.4,61.5,4.9,1014.4,1023.4,0,1.75
156,堡林,2012-02-14,4.6,2.1,9.5,7,1.6,1.2,79.5,6.7,1011.6,1020.5,2.9,4.96
156,堡林,2012-02-15,2.8,0.3,7.4,,2.4,-8.1,48,3.5,1013.2,1022.3,7.3,10.66
156,堡林,2012-02-16,1.2,-2.4,5.7,0,3,-11.9,40,2.6,1014.9,1024.1,9.8,13.68
156,堡林,2012-02-17,-2.6,-4.8,1.1,0.8,2.7,-8.6,66,3.3,1016.2,1025.5,9.6,10.51
156,堡林,2012-02-18,-4.3,-6.7,-0.7,0.1,2.8,-10.4,64.4,2.8,1018.9,1028.2,9.8,11.91
156,堡林,2012-02-19,-2.5,-7.1,2.6,0.1,2,-9.3,61.4,3,1019.5,1028.8,10.4,12.55
156,堡林,2012-02-20,0.1,-7.4,7.7,,1,-10.3,50.4,2.8,1018.6,1027.8,9.6,13.73
156,堡林,2012-02-21,0.8,-2.4,4.7,0.5,1.4,-4.7,70.6,4.5,1014.5,1023.6,0.2,2.64
156,堡林,2012-02-22,6.5,-0.8,13,,1.8,1.8,74.5,7,1007.6,1016.5,5.1,9.55
156,堡林,2012-02-23,6.2,2.6,9.5,,1.8,1.1,70.6,6.6,1005.8,1014.6,7.4,11.56
156,堡林,2012-02-24,6.4,0.4,13.2,0.5,1.4,0.7,70.4,6.5,1008.8,1017.7,5.8,10.26
156,堡林,2012-02-25,2,-0.6,4.9,1,2.3,-1.9,75.3,5.4,1009.7,1018.8,1.2,6.16
156,堡林,2012-02-26,0.2,-2.7,4.9,,2.4,-8.2,54.9,3.3,1014.1,1023.3,3.8,8.18
156,堡林,2012-02-27,1.4,-5,9.3,,2.4,-11.4,41.6,2.6,1016.4,1025.6,10.6,15.67
156,堡林,2012-02-28,3.7,-0.7,7.3,0,2.7,-5.7,52.3,4.1,1014.1,1023.1,0,3.89
156,堡林,2012-02-29,6,-0.9,14.9,,1.2,-2,60.1,5.3,1013.2,1022.2,10.3,14.63
156,堡林,2012-03-01,8.8,2.4,16,,1.3,-1.2,51,5.6,1009.4,1018.2,5.2,10.56
156,堡林,2012-03-02,6.4,5,8.3,1.5,1.2,3.2,80.5,7.7,1009.1,1018,0,2.52
156,堡林,2012-03-03,9.5,5.1,15.1,,1.8,2.3,63.1,7.3,1014.6,1023.4,5.7,10.34
156,堡林,2012-03-04,7.3,5.4,11.9,6.5,4.4,3.5,78.3,7.9,1010.9,1019.8,0,4.31
