지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 이슬점온도(°C),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2)
236,부여,2021-05-01,10.3,6.9,13.9,.2,2,5.8,75.6,9.3,1006.4,1008,1.2,
236,부여,2021-05-02,12.3,6.7,19.6,.3,1.7,5.5,66.5,9,1016.1,1017.7,6.5,
236,부여,2021-05-03,13.2,3.9,22.7,,1,6.2,67.3,9.5,1017.6,1019.2,8.7,
236,부여,2021-05-04,15.9,9.8,23,9.2,1.5,12.3,79.9,14.6,1008.7,1010.3,0,
236,부여,2021-05-05,13.4,6.3,20.2,,2,5.9,67.5,9.7,1013.7,1015.3,12.2,
236,부여,2021-05-06,13.5,3.4,23.1,,.9,3.9,60.3,8.2,1015.6,1017.2,7.8,
236,부여,2021-05-07,13.5,8.1,19.5,2.4,1.8,6.8,67.4,10.1,1007.7,1009.3,6.7,
236,부여,2021-05-08,14.2,5.7,22.6,,2,7.8,70,10.6,1005.3,1006.9,9.3,
236,부여,2021-05-09,14.6,6.1,23.1,,1.3,5.7,63.5,9.3,1010.1,1011.7,10.7,
236,부여,2021-05-10,11.9,8.9,13.8,10.4,1.1,9.9,88.4,12.3,1012.7,1014.3,0,
236,부여,2021-05-11,15.7,12.2,20.7,6.6,1.8,10.9,75.6,13.2,1012.2,1013.8,.9,
236,부여,2021-05-12,19.9,12.7,27.5,,1.7,9.1,52,11.8,1010.7,1012.3,12.6,
236,부여,2021-05-13,20.7,12.4,29.3,,.8,14.1,69.3,16.1,1010.5,1012.1,12.5,
236,부여,2021-05-14,21.7,14.3,31.4,0,.9,15.5,71,17.6,1010.3,1011.9,9.1,
236,부여,2021-05-15,21.4,18.4,26.5,2.7,.8,19.8,91.5,23.2,1005.5,1007,.3,
236,부여,2021-05-16,20.1,16.1,22.2,39.1,1.5,19.7,98.1,23.1,1000.3,1001.8,0,
236,부여,2021-05-17,15.8,14.9,17.4,2.1,1.3,14.7,93.8,16.7,1006.4,1008,0,
236,부여,2021-05-18,17.9,14.4,24,,.9,14.1,80.3,16.1,1009.9,1011.5,6.5,
236,부여,2021-05-19,19.5,12.9,28.6,,.8,11.2,65.4,13.4,1011.1,1012.6,7.8,
236,부여,2021-05-20,16.7,15.3,19.4,8.6,1.5,13.9,84.9,16,1003.5,1005.1,0,
236,부여,2021-05-21,14.9,12.2,17.4,0,1.6,13,89,15,1006.2,1007.8,0,
236,부여,2021-05-22,17.3,11.1,26.1,,1.1,12.7,78,14.7,1010.6,1012.2,10.1,
236,부여,2021-05-23,19.1,11.1,26.3,,.7,13.2,71.9,15.2,1010.2,1011.8,5.6,
236,부여,2021-05-24,19.3,14.2,25.9,0,1.2,10.5,62.1,13,1007.6,1009.2,7.8,
236,부여,2021-05-25,15.9,11.7,21.4,1.8,1.8,10.4,74.3,12.7,1007.9,1009.5,8.9,
236,부여,2021-05-26,16.3,11.7,23.3,0,.7,11.8,76.9,13.9,1007.6,1009.1,.3,
236,부여,2021-05-27,16.2,12.4,20.8,1.5,1.4,13.2,83.6,15.3,1002.3,1003.9,4.7,
236,부여,2021-05-28,15.5,11.1,22,29.7,1.6,12.6,84.5,14.7,1001,1002.6,3.7,
236,부여,2021-05-29,17.4,10.3,25.4,,1.2,11.4,71.1,13.6,1006.3,1007.9,9.6,
236,부여,2021-05-30,19.7,11,28,4.4,1.2,12.7,68,14.9,1007.9,1009.5,10.6,
236,부여,2021-05-31,19.3,15.1,27.4,17.9,.9,13.2,72.5,15.4,1010.5,1012,4.3,
236,부여,2021-06-01,21.1,13.3,28.3,,.9,13.8,67,15.8,1013.2,1014.7,8.8,
236,부여,2021-06-02,23.1,16.2,30.1,,1,15.1,64.3,17.2,1011.9,1013.4,11.8,
236,부여,2021-06-03,17.8,15.2,19.7,18.7,.6,16.8,94.1,19.1,1003.7,1005.3,0,
236,부여,2021-06-04,17.9,11.8,23.9,0,1.5,13.3,77.5,15.3,1002.3,1003.9,12,
236,부여,2021-06-05,20.2,13.3,24.8,,1.9,15.9,77.1,18.2,1001.7,1003.3,7.9,
