"측정소명","년/월/일","회차","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","클로로필 a(㎎/㎥)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","수소이온농도","페놀류(㎎/L)","전기전도도(μS/㎝)","총대장균군수(총대장균군수/100ml)","카드뮴(㎎/L)","시안(㎎/L)","납(㎎/L)","6가크롬(㎎/L)","비소(㎎/L)","수은(㎎/L)","구리(㎎/L)","아연(㎎/L)","크롬(㎎/L)","니켈(㎎/L)","바륨(㎎/L)","셀레늄(㎎/L)","용존총질소(㎎/L)","암모니아성 질소(㎎/L)","질산성 질소(㎎/L)","용존총인(㎎/L)","인산염인(㎎/L)","SS(㎎/L)","헥사클로로벤젠 (㎍/L)","분원성대장균군수","불소(㎎/L)","색도(㎎/L)","노말헥산추출물질(㎎/L)","용해성망간(㎎/L)","용해성철(㎎/L)","음이온계면활성제(㎎/L)","테트라클로로에틸렌(㎎/L)","테트라클로로에틸렌(㎎/L)","사염화탄소","1.2-디클로로에탄(㎎/L)","디클로로메탄(㎎/L)","벤젠(㎎/L)","폴리크로리네이티트비페닐(㎎/L)","유기인(㎎/L)","안티몬 (㎎/L)","클로로포름 (㎎/L)","디에틸헥실프탈레이트 (㎎/L)","1.4-다이옥세인 (㎎/L)","투명도(m)","유량(㎥/s)","포름알데히드(㎎/L)"
"광산","2020/01/06","1회차","","7.5","13.5","6.0","9.6","69.7","7.740","0.088","8.6","7.5","0.000","439","2500","","","","","","","","","","","","","7.656","3.465","3.510","0.015","0.000","14.5","","210","","","","","","","","","","","","","","","","","","","","9.763",""
"영산포1","2020/01/06","1회차","","6.0","12.9","4.2","9.0","83.7","6.636","0.070","4.1","7.7","정량한계미만","424","2300","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","6.256","1.865","3.599","0.026","0.000","14.8","","560","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/01/13","2회차","","7.0","11.0","4.0","7.2","16.9","5.089","0.103","5.4","7.3","0.000","280","27000","0.00000","0.00","0.00011","0.000","0.00053","0.0000000","","","","","","","5.031","1.369","2.911","0.055","0.037","10.5","","430","","","","","","0.00","","","","","","","","","0.0002","","","","","12.415",""
"영산포1","2020/01/13","2회차","","7.1","9.9","2.2","7.4","11.6","4.074","0.125","3.9","7.4","정량한계미만","277","6200","","","","","","","","","","","","","3.928","0.925","2.664","0.111","0.098","9.6","","560","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/01/20","3회차","","6.8","10.3","4.0","7.4","20.9","6.702","0.094","5.9","7.2","0.000","364","2700","","","","","","","","","","","","","6.441","2.484","3.641","0.042","0.030","7.4","","50","","","","","","","","","","","","","","","","","","","","10.533",""
"영산포1","2020/01/20","3회차","","6.4","14.0","3.5","7.6","22.0","5.383","0.140","4.3","7.9","정량한계미만","304","6800","","","","","","","","","","","","","5.111","1.188","3.232","0.071","0.006","10.4","","1500","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/01/28","4회차","","9.2","9.8","4.8","7.8","21.4","7.077","0.113","6.3","7.2","0.000","362","35000","","","","","","","","","","","","","6.891","3.665","2.931","0.048","0.032","8.3","","2200","","","","","","","","","","","","","","","","","","","","18.003",""
"영산포1","2020/01/28","4회차","","8.0","16.4","3.4","7.5","35.5","7.169","0.054","4.2","7.6","정량한계미만","358","7000","","","","","","","","","","","","","5.437","2.171","3.359","0.032","0.009","10.4","","4600","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/02/03","1회차","","8.6","12.9","5.7","8.9","28.3","6.618","0.105","7.3","7.2","0.000","380","3800","0.00001","0.00","0.00007","0.000","0.00051","0.0000000","","","","","","","5.581","2.970","2.605","0.077","0.063","11.1","","210","","","","","","0.00","","","","","","","","","0.0002","","","","","13.200",""
"영산포1","2020/02/03","1회차","","7.4","17.8","5.4","9.5","84.5","4.818","0.121","5.1","7.5","정량한계미만","320","4000","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","4.157","0.509","3.090","0.041","0.003","20.8","","500","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/02/10","2회차","","6.9","12.1","5.5","8.5","24.0","7.367","0.080","6.9","7.3","0.000","393","2200","","","","","","","","","","","","","7.236","3.027","3.917","0.029","0.014","7.3","","5","","","","","","","","","","","","","","","","","","","","7.830",""
"영산포1","2020/02/10","2회차","","7.0","16.3","3.0","7.5","149.3","5.944","0.050","5.1","8.4","정량한계미만","346","300","","","","","","","","","","","","","5.728","1.256","3.095","0.022","0.005","26.7","","12","","","","","","","","","","","","","","","","","","","","",""
"영산포1","2020/02/17","3회차","","7.5","12.2","4.5","9.3","73.2","6.867","0.083","4.2","7.7","정량한계미만","376","530","","","","","","","","","","","","","6.447","1.937","3.379","0.037","0.009","12.8","","64","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/02/18","3회차","","7.7","10.2","6.8","12.9","45.3","6.728","0.270","7.4","7.4","0.000","365","100000","","","","","","","","","","","","","6.250","3.502","2.273","0.147","0.110","15.2","","12000","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/02/24","4회차","","10.2","9.2","6.5","12.0","57.4","6.446","0.303","8.7","7.5","0.000","437","80000","","","","","","","","","","","","","5.995","3.259","2.271","0.168","0.152","14.5","","7900","","","","","","","","","","","","","","","","","","","","23.341",""
"영산포1","2020/02/24","4회차","","10.7","16.8","6.3","10.9","87.0","5.414","0.158","4.2","8.4","정량한계미만","402","1040","","","","","","","","","","","","","5.082","1.236","2.659","0.041","0.010","19.6","","90","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/02","1회차","","10.2","11.2","5.0","7.9","27.9","4.507","0.109","6.0","7.6","0.000","317","3800","0.00001","0.00","0.00008","0.000","0.00053","0.0000010","","","","","","","4.493","2.012","2.144","0.044","0.029","13.6","0.000","210","","","","","","0.00","0.000","0.000","0.0000","0.0000","0.0000","0.0000","","","0.0002","0.000","","0.000","","18.777","0.000"
"영산포1","2020/03/02","1회차","","10.0","11.2","6.0","8.4","137.3","5.947","0.150","4.8","7.6","정량한계미만","385","4200","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","정량한계미만","","","","","","","5.468","2.182","2.257","0.065","0.045","16.4","","420","","","","","","정량한계미만","","","","","","","","","정량한계미만","","","","","",""
"광산","2020/03/09","2회차","","11.3","10.5","6.0","9.0","31.5","7.135","0.150","7.4","7.1","0.000","382","32000","","","","","","","","","","","","","6.643","3.580","2.698","0.038","0.011","12.5","","4100","","","","","","","","","","","","","","","","","","","","15.254",""
"영산포1","2020/03/09","2회차","","10.3","15.5","5.8","10.5","190.9","4.439","0.093","5.4","8.5","정량한계미만","333","580","","","","","","","","","","","","","3.549","1.080","2.246","0.022","0.010","20.4","","160","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/16","3회차","","11.1","13.6","6.6","12.6","88.4","6.951","0.131","8.4","7.6","0.000","392","2700","","","","","","","","","","","","","6.677","3.531","2.546","0.032","0.005","19.0","","120","","","","","","","","","","","","","","","","","","","","10.424",""
"영산포1","2020/03/16","3회차","","11.1","15.8","5.6","12.4","187.9","5.663","0.126","4.8","8.8","정량한계미만","320","450","","","","","","","","","","","","","4.638","1.622","2.378","0.028","0.006","20.8","","92","","","","","","","","","","","","","","","","","","","","",""
"광산","2020/03/23","4회차","","14.7","14.6","6.5","13.7","107.3","7.233","0.106","8.1","8.2","0.000","431","1500","","","","","","","","","","","","","6.615","3.121","3.007","0.029","0.004","19.6","","60","","","","","","","","","","","","","","","","","","","","7.231",""
