"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","승촌보","광산","2022.01.03","5.8","7.6","15.1","0.8","5.2","81.8","0","0","0","0","0","9","5","정량한계미만"
"하천","승촌보","광산","2022.01.10","6.5","7.1","15.9","0.7","8.1","87.0","0","0","0","0","0","10","3","정량한계미만"
"하천","승촌보","광산","2022.01.17","5.9","7.3","13.5","0.7","5.3","45.0","0","0","0","0","0","11","6","정량한계미만"
"하천","승촌보","광산","2022.01.24","7.6","7.2","13.7","0.8","5.4","77.9","0","0","0","0","0","11","5","정량한계미만"
"하천","승촌보","광산","2022.02.03","6.9","7.2","14.5","0.6","5.4","81.4","0","0","0","0","0","12","7","정량한계미만"
"하천","승촌보","광산","2022.02.07","6.4","7.6","15.5","0.6","7.1","95.0","0","0","0","0","0","11","3","정량한계미만"
"하천","승촌보","광산","2022.02.14","8.4","7.4","14.9","0.6","5.8","85.8","0","0","0","0","0","16","9","정량한계미만"
"하천","승촌보","광산","2022.02.21","6.5","7.5","13.2","0.6","6.9","54.0","0","0","0","0","0","12","7","정량한계미만"
"하천","승촌보","광산","2022.02.28","8.4","7.6","15.7","0.6","7.2","72.7","0","0","0","0","0","13","5","정량한계미만"
"하천","승촌보","광산","2022.03.07","10.5","7.4","13.7","0.6","7.8","93.1","0","0","0","0","0","9","3","정량한계미만"
"하천","승촌보","광산","2022.03.14","15.1","6.7","5.6","0.8","4.7","23.7","0","0","0","0","0","16","5","정량한계미만"
"하천","승촌보","광산","2022.03.21","11.3","6.7","5.2","0.9","5.6","3.6","0","0","0","0","0","13","5","정량한계미만"
"하천","승촌보","광산","2022.03.28","12.6","6.9","9.7","0.3","15.2","25.0","0","0","0","0","0","7","4","정량한계미만"
"하천","승촌보","광산","2022.04.04","14.6","7.9","15.7","0.6","8.8","161.3","0","0","0","0","0","11","5","정량한계미만"
"하천","승촌보","광산","2022.04.11","18.2","7.9","14.1","0.5","7.9","159.1","0","0","0","0","0","7","9","정량한계미만"
"하천","승촌보","광산","2022.04.18","18.6","7.0","8.4","0.8","5.5","29.5","0","0","0","0","0","15","13","정량한계미만"
"하천","승촌보","광산","2022.04.25","21.6","7.7","14.5","0.6","3.6","113.3","0","0","0","0","0","12","14","정량한계미만"
"하천","승촌보","광산","2022.05.02","18.6","7.2","10.8","0.4","5.6","134.2","0","0","0","0","0","14","16","정량한계미만"
"하천","승촌보","광산","2022.05.09","21.8","7.3","11.4","0.6","4.4","59.1","0","0","0","0","0","11","26","정량한계미만"
